Date,sentiment,sentiment_label,Open,High,Low,Close,Volume
2018-07-26,53,Neutral,8165.597548772,8280.383112883,7874.765231963,7933.673932412,4940766514.848018
2018-07-27,47,Neutral,7925.66136133,8261.135335182,7834.49076069,8158.491093936,4974252390.807898
2018-07-28,54,Neutral,8172.875760772,8218.909621596,8094.790455045,8195.281387616,4271083963.4205832
2018-07-29,54,Neutral,8230.52203672,8273.041209949,8130.355936972,8211.614334805,3666674348.965748
2018-07-30,53,Neutral,8218.147751985,8237.120087099,7885.594529493,8181.184913701,4448141891.506246
2018-07-31,48,Neutral,8174.641739616,8174.641739616,7662.792135741,7752.144491811,5247534991.598222
2018-08-01,39,Fear,7744.631395433,7747.417375112,7492.216628196,7596.721802762,4823441462.393802
2018-08-02,39,Fear,7600.558993948,7685.923378593,7508.516748605,7551.49315296,4163829164.005342
2018-08-03,36,Fear,7548.45773574,7548.45773574,7309.308752017,7422.438043343,4091971159.843146
2018-08-04,31,Fear,7423.369336613,7491.741800212,6967.696860292,7017.844894334,3860203504.513457
2018-08-05,23,Extreme Fear,7021.618542978,7076.470273596,6924.906451544,7041.990104397,3682909104.367678
2018-08-06,25,Extreme Fear,7040.944982529,7144.007979114,6869.734954513,6935.713091899,3306255574.1445484
2018-08-07,25,Extreme Fear,6945.21833169,7140.708761556,6722.266220746,6732.826689952,3700827846.127184
2018-08-08,23,Extreme Fear,6736.300264249,6736.300264249,6205.35234374,6281.517374106,4609610922.224341
2018-08-09,19,Extreme Fear,6291.645097695,6629.937973848,6248.586463689,6563.764604497,4210397000.6718984
2018-08-10,21,Extreme Fear,6556.79900191,6587.10507013,6109.974094768,6183.831055963,4181392943.931878
2018-08-11,18,Extreme Fear,6178.816153253,6460.502985999,6100.812338657,6293.915942247,4185821570.730027
2018-08-12,18,Extreme Fear,6269.572355626,6433.37253417,6227.37113489,6342.511734015,3631377731.046385
2018-08-13,21,Extreme Fear,6342.49538075,6509.961457311,6209.058762999,6284.92811516,3625488362.313673
2018-08-14,16,Extreme Fear,6287.053220705,6287.053220705,5952.335379774,6207.117520201,4314826467.957589
2018-08-15,18,Extreme Fear,6217.842249039,6594.442382035,6217.842249039,6306.298266436,4271528735.366837
2018-08-16,21,Extreme Fear,6302.073567465,6475.480838249,6263.53697101,6329.697340344,4159955398.34352
2018-08-17,19,Extreme Fear,6339.30334607,6587.627901993,6331.717333933,6587.234439279,4220932607.4300776
2018-08-18,24,Extreme Fear,6597.212073282,6628.42929799,6345.785261392,6420.01687876,4098661004.4924545
2018-08-19,27,Fear,6416.237390702,6543.63761398,6354.653622556,6509.31191253,3185408871.9864283
2018-08-20,26,Fear,6504.064719069,6539.18499546,6277.4023894,6291.971191501,3226319434.9999075
2018-08-21,19,Extreme Fear,6284.246451559,6494.949181666,6282.055267622,6482.48093953,3352928439.4427915
2018-08-22,21,Extreme Fear,6481.300215756,6820.081466748,6319.848349671,6376.530713944,3605706790.047852
2018-08-23,18,Extreme Fear,6379.980149324,6545.659034842,6379.980149324,6528.524414941,3432974935.304823
2018-08-24,19,Extreme Fear,6534.230350612,6721.363282331,6501.066966866,6709.592961125,3159935178.710102
2018-08-25,22,Extreme Fear,6703.504529877,6787.24134918,6682.141058337,6745.155572979,3482620041.8107104
2018-08-26,19,Extreme Fear,6740.966519331,6763.799067002,6594.151991808,6705.158422661,2897692512.0954666
2018-08-27,18,Extreme Fear,6708.159869046,6885.057976095,6671.239735192,6883.391276755,3208584744.267615
2018-08-28,19,Extreme Fear,6892.118819724,7116.237490354,6870.993672867,7082.637385337,4088489331.560648
2018-08-29,19,Extreme Fear,7080.255896341,7118.609059683,6960.460368316,7036.643093597,4017126669.355944
2018-08-30,22,Extreme Fear,7036.431587041,7058.898976723,6832.739176005,6973.880311672,3821615060.285881
2018-08-31,17,Extreme Fear,6977.184896695,7056.498152081,6905.33914944,7018.264049857,3847879824.793688
2018-09-01,21,Extreme Fear,7011.745044966,7238.263496486,7011.745044966,7193.248733149,3736417380.529207
2018-09-02,18,Extreme Fear,7189.711798204,7303.005790535,7126.753759791,7277.239549473,4026452649.613735
2018-09-03,19,Extreme Fear,7278.253608581,7324.29065154,7185.260348865,7268.864742887,3587720774.5187054
2018-09-04,26,Fear,7267.905331927,7399.962839814,7246.754355662,7360.98929488,3585026575.492572
2018-09-05,17,Extreme Fear,7364.127452099,7391.519913461,6714.906124526,6714.906124526,4063479414.9589777
2018-09-06,14,Extreme Fear,6720.246795663,6720.246795663,6371.902785238,6519.675094919,5128823495.474911
2018-09-07,17,Extreme Fear,6527.528801198,6551.343072157,6367.814557664,6436.841435103,3604584133.876314
2018-09-08,18,Extreme Fear,6432.032384471,6495.347505137,6164.499001928,6214.515450407,3029596737.942502
2018-09-09,13,Extreme Fear,6213.220555941,6434.372794125,6186.808464011,6277.682276629,3170107868.1843734
2018-09-10,15,Extreme Fear,6274.807969006,6364.054074,6274.807969006,6330.669843302,2898910708.5530744
2018-09-11,18,Extreme Fear,6328.687635904,6391.775975694,6232.734067451,6306.694006415,2960797320.017478
2018-09-12,14,Extreme Fear,6311.369729626,6365.050837912,6243.021350234,6359.149644814,3072304772.765284
2018-09-13,20,Extreme Fear,6356.884591956,6530.988604773,6356.884591956,6501.145617091,3265539092.1933317
2018-09-14,23,Extreme Fear,6498.182769763,6585.306525078,6440.806430483,6509.223085625,3449529788.871757
2018-09-15,24,Extreme Fear,6500.848561872,6566.827240872,6491.857332585,6537.211073285,2906742501.1619143
2018-09-16,28,Fear,6535.007313325,6535.007313325,6432.952919051,6512.152477693,2612709364.0235004
2018-09-17,25,Extreme Fear,6512.220342627,6540.852093028,6241.767742526,6274.229073713,2835108018.9539504
2018-09-18,21,Extreme Fear,6275.496064408,6392.264990936,6256.129769113,6363.858466904,3249090128.6492743
2018-09-19,24,Extreme Fear,6358.739054641,6490.63439701,6178.636654024,6397.127391665,3147521552.2712345
2018-09-20,24,Extreme Fear,6399.795216298,6513.94595805,6366.826294158,6497.019131212,3420591797.8871593
2018-09-21,31,Fear,6493.152931427,6752.404966008,6493.152931427,6744.696981129,4903492828.541768
2018-09-22,35,Fear,6736.854332661,6801.843226655,6616.383582083,6707.238115315,4979240365.486291
2018-09-23,38,Fear,6707.056771032,6772.406208207,6676.568040518,6709.838127072,3519712889.774574
2018-09-24,43,Fear,6709.093372549,6725.147575678,6575.646351861,6586.794101812,3574785844.315666
2018-09-25,37,Fear,6588.874653099,6588.874653099,6376.748408757,6438.627759085,3810213970.800927
2018-09-26,37,Fear,6445.346329714,6551.84140185,6402.489428813,6479.083948142,3710739995.615443
2018-09-27,42,Fear,6472.98947654,6708.890307923,6456.868936613,6676.851172975,3534387056.389184
2018-09-28,42,Fear,6680.315861169,6780.342952041,6572.820589437,6641.955562713,3950139502.72127
2018-09-29,37,Fear,6639.133514007,6639.133514007,6499.12678059,6600.212125391,3667760047.364148
2018-09-30,34,Fear,6594.927830488,6642.932344614,6555.15405797,6619.480812488,3156173083.6218467
2018-10-01,35,Fear,6624.023395287,6653.039249374,6531.896590211,6596.018098435,3103181637.296217
2018-10-02,33,Fear,6596.425430306,6609.789764928,6521.24899482,6534.415120759,2973884240.6697183
2018-10-03,36,Fear,6539.365526536,6540.727212725,6450.163787073,6505.256155789,3109636692.364331
2018-10-04,29,Fear,6502.28194056,6613.382645214,6499.819670241,6574.045631876,2889072641.863299
2018-10-05,37,Fear,6577.590428121,6646.669403697,6549.521307364,6626.550323225,2672396690.5100803
2018-10-06,34,Fear,6628.529624888,6629.702960488,6567.122763921,6590.995725832,2497460195.881971
2018-10-07,29,Fear,6591.961723594,6629.59915977,6544.87251455,6595.637641947,2328395841.8460917
2018-10-08,26,Fear,6602.290457561,6681.339049822,6583.792576173,6657.272477736,2719149065.687601
2018-10-09,31,Fear,6656.124595325,6663.221710667,6606.326817828,6646.658367487,2895217736.8095245
2018-10-10,28,Fear,6646.18252197,6646.18252197,6532.790678706,6599.428020639,2892787742.9338665
2018-10-11,19,Extreme Fear,6597.07497291,6597.07497291,6223.701469328,6252.437099217,3856048836.4926505
2018-10-12,13,Extreme Fear,6245.131457439,6339.634868372,6218.533471382,6293.904829722,3568675354.6650333
2018-10-13,15,Extreme Fear,6291.160228165,6325.159138957,6286.921219351,6325.159138957,2707685988.2709885
2018-10-14,18,Extreme Fear,6322.634877764,6382.174804448,6312.444607358,6321.8112547,2473293529.3844576
2018-10-15,20,Extreme Fear,6325.070599423,7241.013386934,6297.967732794,6576.759500825,4839273501.044345
2018-10-16,24,Extreme Fear,6569.003869632,6656.351196471,6526.208311032,6552.077684632,4349704177.003925
2018-10-17,23,Extreme Fear,6556.349143916,6578.4743,6491.21964139,6520.256440785,3451052342.075724
2018-10-18,26,Fear,6520.905375002,6540.466031979,6461.579151329,6479.295676487,3281648435.665219
2018-10-19,24,Extreme Fear,6480.163637934,6495.135871574,6450.3012513,6455.395740132,3173937549.0158453
2018-10-20,21,Extreme Fear,6456.360438816,6472.939715716,6439.166420848,6461.901010679,2966669746.46326
2018-10-21,21,Extreme Fear,6465.940550179,6505.716811461,6429.063841525,6475.861331941,2678968945.046221
2018-10-22,27,Fear,6477.219324492,6494.29600581,6448.567204502,6466.252677658,2956097582.888225
2018-10-23,24,Extreme Fear,6465.943343818,6474.39947166,6416.734024871,6423.905003506,3291200247.1767387
2018-10-24,23,Extreme Fear,6423.513294184,6490.190728496,6413.603949848,6433.06547953,3363537342.926277
2018-10-25,25,Extreme Fear,6433.232272282,6440.656013748,6396.052902194,6420.365572797,3484524078.0412526
2018-10-26,29,Fear,6420.863227091,6426.947031918,6385.627746287,6416.40587187,3097524566.94115
2018-10-27,33,Fear,6418.620770569,6430.371869094,6392.843436526,6416.188304748,2928172852.4560328
2018-10-28,35,Fear,6416.549408448,6464.692941826,6381.13930249,6406.221101405,2906079102.3680205
2018-10-29,34,Fear,6406.269060578,6407.649451942,6242.814051634,6252.273570761,3093193492.478595
2018-10-30,31,Fear,6255.057567736,6304.135098663,6255.057567736,6284.585338842,3434096462.4793286
2018-10-31,32,Fear,6283.631828987,6323.643162745,6238.6372898,6298.837501112,3286097615.963602
